0,1,2,3,4
Fecha,Día,Min,Máx,Precio
4/08,Miércoles,496,570,533
5/08,Jueves,512,589,550
6/08,Viernes,494,568,531
9/08,Lunes,486,560,523
10/08,Martes,499,575,537
11/08,Miércoles,526,606,566
12/08,Jueves,536,616,576
13/08,Viernes,558,642,600
16/08,Lunes,591,679,635
17/08,Martes,586,674,630
18/08,Miércoles,591,681,636
19/08,Jueves,608,700,654
20/08,Viernes,625,719,672
23/08,Lunes,674,776,725
24/08,Martes,648,746,697
25/08,Miércoles,613,705,659
26/08,Jueves,616,708,662
27/08,Viernes,614,706,660
30/08,Lunes,591,679,635
31/08,Martes,576,662,619
1/09,Miércoles,578,666,622
2/09,Jueves,561,645,603
3/09,Viernes,540,622,581
6/09,Lunes,541,623,582
