0,1,2,3,4
Fecha,Día,Min,Máx,Precio
27/05,Jueves,35286,40598,37942
28/05,Viernes,39484,45428,42456
31/05,Lunes,36554,42056,39305
1/06,Martes,36692,42216,39454
2/06,Miércoles,33764,38846,36305
3/06,Jueves,37230,42834,40032
4/06,Viernes,31936,36744,34340
7/06,Lunes,31485,36225,33855
8/06,Martes,29484,33922,31703
9/06,Miércoles,29313,33725,31519
10/06,Jueves,27472,31608,29540
11/06,Viernes,27575,31727,29651
14/06,Lunes,27683,31851,29767
15/06,Martes,24149,27785,25967
16/06,Miércoles,24532,28224,26378
17/06,Jueves,23510,27050,25280
18/06,Viernes,23252,26752,25002
21/06,Lunes,23888,27484,25686
22/06,Martes,24282,27938,26110
23/06,Miércoles,23836,27424,25630
24/06,Jueves,25740,29614,27677
25/06,Viernes,23961,27567,25764
28/06,Lunes,24203,27847,26025
29/06,Martes,23693,27259,25476
