0,1,2,3,4
Fecha,Día,Min,Máx,Precio
6/04,Martes,55838,64244,60041
7/04,Miércoles,56954,65528,61241
8/04,Jueves,55109,63405,59257
9/04,Viernes,55352,63684,59518
12/04,Lunes,55292,63616,59454
13/04,Martes,55303,63629,59466
14/04,Miércoles,56414,64906,60660
15/04,Jueves,58278,67052,62665
16/04,Viernes,58194,66954,62574
19/04,Lunes,59037,67925,63481
20/04,Martes,63312,72842,68077
21/04,Miércoles,62176,71536,66856
22/04,Jueves,59781,68781,64281
23/04,Viernes,60097,69143,64620
26/04,Lunes,56650,65178,60914
27/04,Martes,55953,64377,60165
28/04,Miércoles,55994,64424,60209
29/04,Jueves,56398,64888,60643
30/04,Viernes,55173,63479,59326
3/05,Lunes,57102,65698,61400
4/05,Martes,58433,67229,62831
5/05,Miércoles,55115,63411,59263
6/05,Jueves,53058,61046,57052
7/05,Viernes,57330,65960,61645
