0,1,2,3,4
Fecha,Día,Min,Máx,Precio
21/10,Jueves,3733,4295,4014
22/10,Viernes,3635,4183,3909
25/10,Lunes,3652,4202,3927
26/10,Martes,3616,4160,3888
27/10,Miércoles,3690,4246,3968
28/10,Jueves,3877,4461,4169
29/10,Viernes,4006,4610,4308
1/11,Lunes,3946,4540,4243
2/11,Martes,4094,4710,4402
3/11,Miércoles,3912,4500,4206
4/11,Jueves,3927,4519,4223
5/11,Viernes,3898,4484,4191
8/11,Lunes,3910,4498,4204
9/11,Martes,3976,4574,4275
10/11,Miércoles,4131,4753,4442
11/11,Jueves,4088,4704,4396
12/11,Viernes,4125,4745,4435
15/11,Lunes,4224,4860,4542
16/11,Martes,4659,5361,5010
17/11,Miércoles,4903,5641,5272
18/11,Jueves,4979,5729,5354
19/11,Viernes,4776,5494,5135
22/11,Lunes,4563,5249,4906
23/11,Martes,4779,5499,5139
