0,1,2,3,4
Fecha,Día,Min,Máx,Precio
13/04,Martes,220,254,237
14/04,Miércoles,217,249,233
15/04,Jueves,251,289,270
16/04,Viernes,246,282,264
19/04,Lunes,254,292,273
20/04,Martes,235,271,253
21/04,Miércoles,252,290,271
22/04,Jueves,276,318,297
23/04,Viernes,286,330,308
26/04,Lunes,264,304,284
27/04,Martes,276,318,297
28/04,Miércoles,285,327,306
29/04,Jueves,286,328,307
30/04,Viernes,288,332,310
3/05,Lunes,303,349,326
4/05,Martes,303,349,326
5/05,Miércoles,304,350,327
6/05,Jueves,326,375,350
7/05,Viernes,317,365,341
10/05,Lunes,300,346,323
11/05,Martes,300,346,323
12/05,Miércoles,286,328,307
13/05,Jueves,279,321,300
14/05,Viernes,279,321,300
